Feature,Importance
278,3.2964381553597093
492,2.1362224506108687
523,1.3679235410831656
425,1.2802311754441
439,1.2240102468680678
413,1.1624435680823832
203,1.0161235681121186
207,0.9915749297659576
6207,-0.8735982565381325
139,0.7948361722847304
138,0.7948361722847257
140,0.7928278516734117
639,-0.7779756812325131
638,-0.7779756812325131
640,-0.7750994072890363
271,-0.7744054335921526
270,0.7681376218708951
644,0.7650996205768007
18794,-0.7641503152394962
153,0.7615755138561048
10906,-0.7559612556740206
729,-0.7523680522361881
1006,0.7371394497083061
487,0.7273014700257073
488,0.7273014700257073
486,0.7273014700257073
478,0.7261303400346534
484,0.7261303400346534
479,0.7261303400346534
480,0.7261303400346534
481,0.7261303400346534
482,0.7261303400346534
483,0.7261303400346534
485,0.7261303400346534
504,0.7211495786701828
503,0.7211495786701828
505,0.7211495786701828
497,0.7182098670410927
496,0.7182098670410927
495,0.7182098670410927
508,0.7170347926624264
506,0.7155540852456409
507,0.7155540852456409
1010,0.7092046803741612
7747,0.6952449436737078
593,0.6902285676134857
592,0.6894464355264285
1379,0.6748514770176945
1380,0.6748514770176945
1383,0.6748514770176945
0,0.6704091731854775
555,0.6539711459705689
46129,-0.6462836491672898
527,-0.6423388140847434
46097,-0.621461677191483
647,-0.602154470396982
820,-0.5942348483746918
13626,-0.5937598016058894
23547,-0.5933571219276252
7616,0.5908255899668962
6455,-0.5658487672373781
459,0.5574104658102503
4563,-0.5518981406383444
4537,-0.5518981406383444
199,0.548542269556405
1458,0.5393928239715339
7592,0.5365036782628902
21104,-0.5326136312589864
3581,0.5313094225962036
124,0.5181957352951672
386,-0.5151267153683203
133,0.5117422953055979
590,0.5046513131495051
605,0.5031700008683919
3054,-0.49256183536037595
245,0.4803555547898992
781,0.4775348219972036
415,-0.47540491946986113
48916,-0.47232162705748054
724,-0.4702136862280528
654,0.4688326477398244
653,0.4688326477398244
284,0.44830264141613535
5207,0.4460787737472318
2851,0.4416429124040081
21363,0.4354391963034721
636,-0.43341053697845333
1146,-0.42911841650489846
549,0.4289204682037206
548,0.4289204682037206
369,0.4273480371189475
1141,-0.4259496638350253
13893,-0.4250289822605049
18807,-0.42336138154043024
4129,-0.42278247005309394
1150,-0.421479738629427
426,0.4214516325990174
1148,-0.4212294070255551
5541,0.4188803988977647
1169,-0.4178843623021781
769,0.4161202650695958
768,0.41365449597217924
1,0.41317113462272387
3859,-0.4107321442171158
1137,-0.4053463000015295
10866,-0.40487447606435517
1019,0.4022598390721324
467,0.40139044701679294
285,0.39960336168180555
584,0.39931663591919525
2647,-0.39405956353349436
456,0.3922407993383483
455,0.3922407993383483
586,0.39179960993941015
1147,-0.3889621303602222
1023,-0.3876749421145108
2,0.38703778163960356
591,0.3866148638485693
3563,-0.38357487641877824
3455,-0.3810530533624136
2966,0.37988772057531883
18667,-0.3796032451648552
5347,-0.378839951549908
3243,-0.37268902612898175
2996,-0.3702652991697145
272,-0.36553354081548356
938,-0.36468954584060354
464,0.3644589905492988
1140,-0.36197663299853383
562,0.3568242812660799
563,0.3568242812660799
135,0.35625101088745104
445,0.35495537064019167
4445,0.3541947813500994
129,0.35418681849729855
134,0.3515881794793682
24207,0.34961712780785437
1353,0.3480953225851121
178,0.3477939557094469
3140,-0.3470582544692684
3139,-0.3470582544692684
3141,-0.3470582544692684
1138,-0.3401761242496426
18764,-0.33950437054449983
298,0.3377830652768571
1133,-0.3362723556708863
1135,-0.3361928105731367
